the_geom,cartodb_id,city,growth_from_2000_to_2013,latitude,longitude,coordinates,population,rank,state
0101000020E6100000A906ABFB111D54C089096AF816923940,9,Miami-Dade,-6.1%,25.570663,-80.4542226,[625.4133890373997 223.4385572893075],2718782,9,Florida
0101000020E61000003FB1A94E627D5EC027FAD74D84B24240,10,Santa Clara County,-6.1%,37.3946626,-121.9591252,[625.4133890373997 223.4385572893075],2718782,10,California
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
